Date,Description,Category,Cost,Currency,Louise Billingham,Ben Selby
2019-07-01,Electrcity,Electricity,74.00,GBP,37.00,-37.00
2019-07-01,Water,Water,24.00,GBP,12.00,-12.00
2019-07-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-07-08,National Trust,General,120.00,GBP,60.00,-60.00
2019-07-29,Council Tax,General,136.00,GBP,-68.00,68.00
2019-08-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2019-08-01,Water,Water,24.00,GBP,12.00,-12.00
2019-08-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-08-13,Stonefield Castle,General,480.00,GBP,240.00,-240.00
2019-08-18,Cutty sark dinner,Dining out,132.00,GBP,-66.00,66.00
2019-08-18,Tower of london,General,50.00,GBP,-25.00,25.00
2019-08-18,Wedding presents,General,40.00,GBP,-40.00,40.00
2019-08-18,Ben S. paid Louise B.,Payment,102.00,GBP,-102.00,102.00
2019-08-29,Council Tax,General,136.00,GBP,-68.00,68.00
2019-09-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2019-09-01,Water,Water,24.00,GBP,12.00,-12.00
2019-09-02,Coach transfer,General,39.00,GBP,-39.00,39.00
2019-09-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-09-09,Saturday shop,Groceries,50.00,GBP,-50.00,50.00
2019-09-28,Louise B. paid Ben S.,Payment,138.50,GBP,138.50,-138.50
2019-09-29,Council Tax,General,136.00,GBP,-68.00,68.00
2019-10-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2019-10-01,Water,Water,24.00,GBP,12.00,-12.00
2019-10-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-10-29,Council Tax,General,136.00,GBP,-68.00,68.00
2019-11-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2019-11-01,Water,Water,24.00,GBP,12.00,-12.00
2019-11-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-11-04,Pictures,General,160.00,GBP,-50.00,50.00
2019-11-23,Baby presents,General,37.00,GBP,-18.50,18.50
2019-11-23,Rose hand cream ,Groceries,12.00,GBP,-12.00,12.00
2019-11-23,Decorations and cushion,General,142.00,GBP,-71.00,71.00
2019-11-29,Council Tax,General,132.00,GBP,-66.00,66.00
2019-12-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2019-12-01,Water,Water,24.00,GBP,12.00,-12.00
2019-12-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2019-12-08,Council tax refund,General,12.00,GBP,12.00,-12.00
2019-12-10,Manatee taxi credit,Taxi,20.00,GBP,20.00,-20.00
2019-12-15,Ground Rent,Rent,400.00,GBP,200.00,-200.00
2019-12-27,TV licence,TV/Phone/Internet,154.50,GBP,77.25,-77.25
2019-12-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-01-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-01-01,Water,Water,24.00,GBP,12.00,-12.00
2020-01-01,Florence flights and hotel,Plane,130.00,GBP,-130.00,130.00
2020-01-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2020-01-19,Contents insurance ,Insurance,57.00,GBP,-19.00,19.00
2020-01-19,Oban flights,Plane,228.00,GBP,-76.00,76.00
2020-01-19,Service Charge ,General,2073.84,GBP,-691.28,691.28
2020-01-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-02-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-02-01,Water,Water,24.00,GBP,12.00,-12.00
2020-02-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-02-08,Didcot hotel,Hotel,80.00,GBP,40.00,-40.00
2020-02-29,Louise B. paid Ben S.,Payment,500.00,GBP,500.00,-500.00
2020-03-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-03-01,Water,Water,24.00,GBP,12.00,-12.00
2020-03-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-03-08,America flights,Plane,3200.00,GBP,-1600.00,1600.00
2020-03-17,Manatee computer ,General,300.00,GBP,-300.00,300.00
2020-04-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-04-01,Water,Water,24.00,GBP,12.00,-12.00
2020-04-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-04-10,Horse racing ,General,40.00,GBP,-20.00,20.00
2020-04-13,Horse race winnings,General,22.00,GBP,22.00,-22.00
2020-04-23,Ben Shoes,Clothing,45.00,GBP,45.00,-45.00
2020-04-26,Louise B. paid Ben S.,Payment,500.00,GBP,500.00,-500.00
2020-04-26,Horse racing ,General,10.00,GBP,-10.00,10.00
2020-04-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-05-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-05-01,Water,Water,24.00,GBP,12.00,-12.00
2020-05-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-05-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-05-30,Louise B. paid Ben S.,Payment,500.00,GBP,500.00,-500.00
2020-06-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-06-01,Water,Water,24.00,GBP,12.00,-12.00
2020-06-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-06-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-07-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-07-01,Water,Water,24.00,GBP,12.00,-12.00
2020-07-03,Louise B. paid Ben S.,Payment,400.00,GBP,400.00,-400.00
2020-07-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-07-11,Service charge,General,2423.28,GBP,-711.28,711.28
2020-07-14,National Trust Subscription,General,120.00,GBP,60.00,-60.00
2020-07-14,Louise B. paid Ben S.,Payment,700.00,GBP,700.00,-700.00
2020-07-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-08-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-08-01,Water,Water,24.00,GBP,12.00,-12.00
2020-08-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2020-08-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-08-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-09-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-09-01,Water,Water,24.00,GBP,12.00,-12.00
2020-09-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2020-09-03,Louise B. paid Ben S.,Payment,200.00,GBP,200.00,-200.00
2020-09-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-09-28,Car,Car,3765.00,GBP,-3765.00,3765.00
2020-09-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-09-30,Car tax,Car,150.00,GBP,75.00,-75.00
2020-09-30,Car insurance,Insurance,324.00,GBP,162.00,-162.00
2020-10-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-10-01,Water,Water,24.00,GBP,12.00,-12.00
2020-10-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2020-10-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-10-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-11-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-11-01,Water,Water,24.00,GBP,12.00,-12.00
2020-11-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2020-11-01,Louise B. paid Ben S.,Payment,2000.00,GBP,2000.00,-2000.00
2020-11-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-11-29,Council Tax,General,132.00,GBP,-66.00,66.00
2020-11-30,Ground Rent 2021,Rent,400.00,GBP,200.00,-200.00
2020-12-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2020-12-01,Water,Water,24.00,GBP,12.00,-12.00
2020-12-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2020-12-04,Internet,TV/Phone/Internet,35.00,GBP,-17.50,17.50
2020-12-17,TV Licence,TV/Phone/Internet,157.50,GBP,78.75,-78.75
2020-12-29,Council Tax,General,132.00,GBP,-66.00,66.00
2021-01-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2021-01-01,Water,Water,24.00,GBP,12.00,-12.00
2021-01-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-01-02,Louise B. paid Ben S.,Payment,500.00,GBP,500.00,-500.00
2021-01-04,Ink cartridges,General,36.99,GBP,-36.99,36.99
2021-01-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-01-08,Tracing paper,Household supplies,7.99,GBP,-7.99,7.99
2021-01-16,Contents insurance,Insurance,57.55,GBP,-28.78,28.78
2021-01-20,Hot Water Bill,Water,327.39,GBP,163.70,-163.70
2021-01-21,Manatee Debt Amnesty,General,1000.00,GBP,1000.00,-1000.00
2021-01-23,Six nations guesser,General,15.00,GBP,-7.50,7.50
2021-01-29,Council Tax,General,132.00,GBP,-66.00,66.00
2021-01-31,Service charge,General,702.00,GBP,-702.00,702.00
2021-01-31,Louise B. paid Ben S.,Payment,850.00,GBP,850.00,-850.00
2021-02-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2021-02-01,Water,Water,24.00,GBP,12.00,-12.00
2021-02-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-02-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-02-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-03-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2021-03-01,Water,Water,24.00,GBP,12.00,-12.00
2021-03-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-03-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-03-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-03-14,Cotswold holiday ,General,528.60,GBP,264.30,-264.30
2021-04-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2021-04-01,Water,Water,24.00,GBP,12.00,-12.00
2021-04-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-04-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-04-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-04-14,Louise B. paid Ben S.,Payment,100.00,GBP,100.00,-100.00
2021-04-14,Sissinghurst B&B,General,410.00,GBP,-205.00,205.00
2021-04-14,White company,General,54.00,GBP,-54.00,54.00
2021-04-17,Peat Spade Inn,Hotel,149.00,GBP,74.50,-74.50
2021-04-18,Travelodge,General,53.00,GBP,-26.50,26.50
2021-04-27,Council Tax,General,121.00,GBP,-60.50,60.50
2021-05-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2021-05-01,Water,Water,24.00,GBP,12.00,-12.00
2021-05-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-05-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-05-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-05-08,Premier Inn,Hotel,30.00,GBP,-15.00,15.00
2021-05-08,East wall hotel,Hotel,338.00,GBP,-169.00,169.00
2021-05-27,Council Tax,General,121.00,GBP,-60.50,60.50
2021-06-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2021-06-01,Water,Water,24.00,GBP,12.00,-12.00
2021-06-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-06-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-06-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-06-27,Council Tax,General,121.00,GBP,-60.50,60.50
2021-07-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2021-07-01,Water,Water,24.00,GBP,12.00,-12.00
2021-07-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-07-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-07-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-07-17,National trust ,General,120.00,GBP,60.00,-60.00
2021-07-27,Council Tax,General,121.00,GBP,-60.50,60.50
2021-08-01,Electrcity,Electricity,58.00,GBP,29.00,-29.00
2021-08-01,Water,Water,24.00,GBP,12.00,-12.00
2021-08-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-08-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-08-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-08-20,Car tax,Car,155.00,GBP,77.50,-77.50
2021-08-27,Council Tax,General,121.00,GBP,-60.50,60.50
2021-09-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2021-09-01,Water,Water,24.00,GBP,12.00,-12.00
2021-09-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-09-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-09-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-09-08,Covid tests,General,87.00,GBP,-87.00,87.00
2021-09-12,Car insurance ,Insurance,305.00,GBP,152.50,-152.50
2021-09-12,Ink catridges,General,35.00,GBP,-35.00,35.00
2021-09-27,Council Tax,General,121.00,GBP,-60.50,60.50
2021-10-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2021-10-01,Water,Water,24.00,GBP,12.00,-12.00
2021-10-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-10-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-10-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-10-15,Holiday,General,100.00,GBP,-100.00,100.00
2021-10-16,Car service,Car,267.00,GBP,133.50,-133.50
2021-10-27,Council Tax,General,121.00,GBP,-60.50,60.50
2021-11-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2021-11-01,Water,Water,24.00,GBP,12.00,-12.00
2021-11-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-11-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2021-11-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-11-20,Taxi,Taxi,14.00,GBP,14.00,-14.00
2021-11-20,Ground rent ,Rent,400.00,GBP,200.00,-200.00
2021-11-27,Council Tax,General,121.00,GBP,-60.50,60.50
2021-12-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2021-12-01,Water,Water,24.00,GBP,12.00,-12.00
2021-12-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2021-12-01,Hot Water,Water,100.00,GBP,50.00,-50.00
2021-12-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2021-12-20,TV licence,TV/Phone/Internet,159.00,GBP,79.50,-79.50
2021-12-27,Council Tax,General,146.00,GBP,-73.00,73.00
2021-12-30,Charity rowathon,General,60.00,GBP,-30.00,30.00
2022-01-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2022-01-01,Water,Water,24.00,GBP,12.00,-12.00
2022-01-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-01-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2022-01-03,Service Charge ,General,2389.68,GBP,1678.00,-1678.00
2022-01-03,Ben S. paid Louise B.,Payment,1413.18,GBP,-1413.18,1413.18
2022-01-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2022-01-16,Egypt flights,Plane,531.00,GBP,-265.50,265.50
2022-01-16,Malta flights easy jet,Plane,91.00,GBP,-45.50,45.50
2022-01-16,Malta hotel,Hotel,397.00,GBP,-198.50,198.50
2022-01-27,Council Tax,General,146.00,GBP,-73.00,73.00
2022-02-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2022-02-01,Water,Water,24.00,GBP,12.00,-12.00
2022-02-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-02-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2022-02-04,Internet,TV/Phone/Internet,29.00,GBP,-14.50,14.50
2022-02-12,Hot water ( additional ) ,Water,104.97,GBP,104.97,-104.97
2022-03-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2022-03-01,Water,Water,24.00,GBP,12.00,-12.00
2022-03-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-03-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2022-03-04,Internet,TV/Phone/Internet,25.00,GBP,-12.50,12.50
2022-03-09,Service charge - 2020 balance,General,1549.80,GBP,-516.60,516.60
2022-04-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2022-04-01,Water,Water,24.00,GBP,12.00,-12.00
2022-04-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-04-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2022-04-02,Louise B. paid Ben S.,Payment,826.38,GBP,826.38,-826.38
2022-04-04,Internet,TV/Phone/Internet,25.00,GBP,-12.50,12.50
2022-04-10,Egypt holiday deposit ,General,600.00,GBP,300.00,-300.00
2022-04-21,Hot water difference,Water,30.00,GBP,15.00,-15.00
2022-05-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2022-05-01,Water,Water,24.00,GBP,12.00,-12.00
2022-05-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-05-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2022-05-04,Internet,TV/Phone/Internet,25.00,GBP,-12.50,12.50
2022-05-10,Council revate,General,75.00,GBP,75.00,-75.00
2022-05-14,Peak District,General,488.00,GBP,244.00,-244.00
2022-05-14,Travelodge lake district,General,45.00,GBP,-22.50,22.50
2022-05-17,Premier inn Portsmouth ,Hotel,209.00,GBP,-104.50,104.50
2022-05-17,Glasgow flights,Plane,70.00,GBP,-35.00,35.00
2022-05-28,Ben S. paid Louise B.,Payment,500.00,GBP,-500.00,500.00
2022-06-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2022-06-01,Water,Water,24.00,GBP,12.00,-12.00
2022-06-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-06-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2022-06-04,Internet,TV/Phone/Internet,25.00,GBP,-12.50,12.50
2022-06-17,Civil ceremony,General,674.00,GBP,337.00,-337.00
2022-06-18,Go boats,General,95.00,GBP,-47.50,47.50
2022-06-25,France car hire,Car,166.00,GBP,166.00,-166.00
2022-06-25,Manatee France House,General,250.00,GBP,250.00,-250.00
2022-07-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2022-07-01,Water,Water,24.00,GBP,12.00,-12.00
2022-07-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-07-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2022-07-04,Internet,TV/Phone/Internet,25.00,GBP,-12.50,12.50
2022-07-11,Service charge,General,695.00,GBP,-695.00,695.00
2022-07-16,National Trust Membership,General,127.00,GBP,63.50,-63.50
2022-07-22,Handmade Food Deposit,General,471.80,GBP,235.90,-235.90
2022-07-24,Rangers House deposite,General,1770.00,GBP,885.00,-885.00
2022-07-24,Egypt ,General,7090.00,GBP,4590.00,-4590.00
2022-07-24,Ben S. paid Louise B.,Payment,5885.15,GBP,-5885.15,5885.15
2022-07-27,Council tax,General,152.00,GBP,-76.00,76.00
2022-08-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2022-08-01,Water,Water,24.00,GBP,12.00,-12.00
2022-08-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-08-01,Goring drinks,Liquor,140.00,GBP,140.00,-140.00
2022-08-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2022-08-04,Internet,TV/Phone/Internet,25.00,GBP,-12.50,12.50
2022-08-22,Car tax,Car,165.00,GBP,82.50,-82.50
2022-08-27,Council tax,General,152.00,GBP,-76.00,76.00
2022-08-29,Races champagne,General,65.00,GBP,65.00,-65.00
2022-08-29,Ben S. paid Louise B.,Payment,181.75,GBP,-181.75,181.75
2022-09-01,Electrcity,Electricity,81.00,GBP,40.50,-40.50
2022-09-01,Water,Water,24.00,GBP,12.00,-12.00
2022-09-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-09-01,Hot Water,Water,30.00,GBP,15.00,-15.00
2022-09-04,Internet,TV/Phone/Internet,25.00,GBP,-12.50,12.50
2022-09-05,Art course,General,350.00,GBP,350.00,-350.00
2022-09-05,Ben S. paid Louise B.,Payment,396.25,GBP,-396.25,396.25
2022-09-09,Car MOT & Service,Car,150.00,GBP,75.00,-75.00
2022-09-14,Concert ticket - Show of Hands,Music,65.00,GBP,32.50,-32.50
2022-09-19,Norton Park Hotle,General,155.00,GBP,77.50,-77.50
2022-09-24,Car insurance ,Insurance,360.00,GBP,180.00,-180.00
2022-09-27,Council tax,General,152.00,GBP,-76.00,76.00
2022-10-01,Electricity,Electricity,50.00,GBP,25.00,-25.00
2022-10-01,Water,Water,24.00,GBP,12.00,-12.00
2022-10-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-10-01,Hot Water,Water,50.00,GBP,25.00,-25.00
2022-10-04,Internet,TV/Phone/Internet,25.00,GBP,-12.50,12.50
2022-10-10,Civil cermony invited,General,30.00,GBP,15.00,-15.00
2022-10-20,Holiday spending,General,500.00,GBP,-500.00,500.00
2022-10-22,Christmas lunch,Dining out,48.30,GBP,48.30,-48.30
2022-10-27,Council tax,General,152.00,GBP,-76.00,76.00
2022-11-01,Electricity,Electricity,50.00,GBP,25.00,-25.00
2022-11-01,Water,Water,24.00,GBP,12.00,-12.00
2022-11-01,Apple music and icloud,Groceries,17.50,GBP,-8.75,8.75
2022-11-01,Hot Water,Water,50.00,GBP,25.00,-25.00
2022-11-04,Internet,TV/Phone/Internet,25.00,GBP,-12.50,12.50
2022-11-12,Ground rent,Rent,400.00,GBP,-200.00,200.00
2022-11-22,Food shop,Groceries,95.00,GBP,47.50,-47.50
